2HC-1,Edge-Face,P,0.061
2HC-1,Edge-Face,AP,0.108
2HC-2,Edge-Face,P,0.033
2HC-3,Edge-Face,P,0.044
2HC-3,Edge-Face,AP,0.08
2HC-4,Edge-Face,P,0.052
2HC-4,Edge-Face,AP,0.093
2HC-5,Face-Face,P,0.116
2HC-5,Face-Face,AP,0.148
2HC-5,Edge-Face,AP,0.028
2HP-1,Face-Face,AP,0.048
2HP-1,Edge-Tail,P,0.007
2HP-1,Edge-Tail,AP,0.002
2HP-2,Face-Face,P,0.021
2HP-2,Face-Face,AP,0.157
2HP-2,Edge-Edge,AP,0.063
2HP-2,Edge-Edge,P,0.034
2HP-3,Face-Face,AP,0.147
2HP-4,Edge-Tail,AP,0.001
2HP-4,Edge-Tail,P,0.005
2HP-4,Face-Face,P,0.044
